base_datos,id_anuncio,precio_inmueble,precio_m2,tipo_inmueble,habitaciones,baños,metros_cuadrados,num_planta,id_barrio_oficial,dias_publicado,detalles_extra,segmento_precio,segmento_precio_m2,ciudad,barrio_oficial,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,puntuacion_ROI365,ROI365_%,outlier_roi365
Idealista,110940561,255000.0,5930.232558139535,Piso,1.0,,43.0,2.0,213250,,Exterior,Entrada,Medio,Barcelona,"Sant Pere, Santa Caterina i la Ribera",132.5,0.2318,1-barrio+habitaciones,Baja rentabilidad,2.86,False
Idealista,111158696,498000.0,4698.11320754717,Piso,3.0,,106.0,2.0,218278,,Ascensor | Exterior,Entrada,Medio,Barcelona,Vila de Gràcia,164.3,0.3004,1-barrio+habitaciones,Baja rentabilidad,2.35,False
Idealista,111119515,398000.0,6218.75,Piso,3.0,,64.0,2.0,139003,,Ascensor | Exterior,Entrada,Medio,Madrid,Adelfas,185.3,0.2708,3-ciudad+habitaciones,Baja rentabilidad,2.99,False
Idealista,109859203,2200000.0,10000.0,Piso,3.0,,220.0,2.0,139126,,Ascensor | Exterior,Lujo,Alto,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,0.47,False
Idealista,111322169,630000.0,5040.0,Piso,3.0,,125.0,2.0,218278,,Garaje incluido | Ascensor | Exterior,Medio,Medio,Barcelona,Vila de Gràcia,164.3,0.3004,1-barrio+habitaciones,Baja rentabilidad,1.86,False
Idealista,111337136,1139000.0,7208.860759493671,Piso,3.0,,158.0,2.0,139129,,Garaje incluido | Ascensor | Exterior,Alto,Alto,Madrid,Jerónimos,225.25,0.2768,1-barrio+habitaciones,Baja rentabilidad,1.3,False
Idealista,109910500,1450000.0,10431.654676258991,Piso,3.0,,139.0,2.0,139126,,Ascensor | Exterior,Alto,Lujo,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,0.71,False
Idealista,108227297,343500.0,6026.315789473684,Piso,1.0,,57.0,2.0,112062,,Ascensor | Exterior,Entrada,Medio,Madrid,Concepción,85.85,0.2133,1-barrio+habitaciones,Baja rentabilidad,1.26,False
Idealista,110822541,399000.0,7980.0,Piso,1.0,,50.0,2.0,139126,,Ascensor | Interior,Entrada,Alto,Madrid,Ibiza,103.7,0.2309,1-barrio+habitaciones,Baja rentabilidad,1.42,False
Idealista,108120907,450000.0,9574.468085106382,Estudio,1.0,,47.0,2.0,112062,,Garaje incluido,Entrada,Alto,Madrid,Concepción,85.85,0.2133,1-barrio+habitaciones,Baja rentabilidad,0.97,False
Idealista,109996232,780000.0,6610.169491525424,Piso,2.0,,118.0,2.0,224013,,Ascensor | Exterior,Medio,Medio,Barcelona,Antiga Esquerra de l'Eixample,246.98,0.3028,1-barrio+habitaciones,Baja rentabilidad,2.27,False
Idealista,110805715,355000.0,6339.285714285715,Piso,2.0,,56.0,2.0,243099,,Exterior,Entrada,Medio,Barcelona,El Poblenou,233.2,0.2794,1-barrio+habitaciones,Baja rentabilidad,4.35,False
Idealista,111215757,675000.0,8231.707317073171,Piso,2.0,,82.0,2.0,109201,,Exterior,Medio,Alto,Madrid,Palacio,149.6,0.2914,1-barrio+habitaciones,Baja rentabilidad,1.53,False
Idealista,110214205,789000.0,7172.727272727273,Piso,2.0,,110.0,2.0,243099,,Garaje incluido | Ascensor | Exterior,Medio,Alto,Barcelona,El Poblenou,233.2,0.2794,1-barrio+habitaciones,Baja rentabilidad,1.96,False
Idealista,111385996,299000.0,3020.2020202020203,Piso,4.0,,99.0,2.0,331206,,Garaje incluido | Ascensor | Exterior,Entrada,Entrada,Valencia,Patraix,183.6,0.2776,3-ciudad+habitaciones,Baja rentabilidad,4.04,False
Idealista,110813421,299000.0,2669.6428571428573,Piso,3.0,,112.0,2.0,136109,,Ascensor | Exterior,Entrada,Entrada,Madrid,Entrevías,185.3,0.2708,3-ciudad+habitaciones,Baja rentabilidad,3.98,False
Idealista,111303940,1100000.0,9243.697478991597,Piso,3.0,,119.0,2.0,139126,,Ascensor | Exterior,Alto,Alto,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,0.94,False
Idealista,109526321,400000.0,4000.0,Piso,1.0,,100.0,2.0,213089,,Exterior,Entrada,Entrada,Barcelona,El Gòtic,147.34,0.2283,1-barrio+habitaciones,Baja rentabilidad,2.0,False
Idealista,82239170,620000.0,6739.130434782609,Estudio,1.0,,92.0,2.0,213089,,,Medio,Medio,Barcelona,El Gòtic,147.34,0.2283,1-barrio+habitaciones,Baja rentabilidad,1.29,False
Idealista,110879102,275000.0,3985.507246376812,Piso,1.0,,69.0,2.0,213101,,Ascensor | Exterior,Entrada,Entrada,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,3.55,False
Idealista,111272649,570000.0,4830.508474576272,Piso,4.0,,118.0,2.0,102068,,Ascensor | Interior,Medio,Medio,Madrid,Delicias,85.0,0.2464,2-barrio,Baja rentabilidad,0.87,False
Idealista,110902689,360000.0,7200.0,Piso,2.0,,50.0,2.0,109106,,Ascensor | Interior,Entrada,Alto,Madrid,Embajadores,127.5,0.3064,1-barrio+habitaciones,Baja rentabilidad,2.57,False
Idealista,110609862,270000.0,6585.365853658536,Piso,2.0,,41.0,2.0,146022,,Interior,Entrada,Medio,Madrid,Bellas Vistas,106.675,0.2369,1-barrio+habitaciones,Baja rentabilidad,2.22,False
Idealista,109000835,430000.0,8600.0,Piso,2.0,,50.0,2.0,109130,,Ascensor | Interior,Entrada,Alto,Madrid,Justicia,164.47500000000002,0.2602,1-barrio+habitaciones,Baja rentabilidad,2.36,False
Idealista,111203264,495000.0,7071.428571428572,Piso,2.0,,70.0,2.0,109106,,Ascensor | Exterior,Entrada,Alto,Madrid,Embajadores,127.5,0.3064,1-barrio+habitaciones,Baja rentabilidad,1.87,False
