escenario,base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
E3_sin_barcelona,Idealista,111061250,Madrid,Embajadores,109106,Piso,3.0,65.0,3.0,395000.0,181.9,0.3064,1-barrio+habitaciones,3.35,Baja rentabilidad
E3_sin_barcelona,Idealista,110886004,Madrid,Sol,109256,Ático,4.0,108.0,5.0,880000.0,370.6,0.3349,1-barrio+habitaciones,3.35,Baja rentabilidad
E3_sin_barcelona,Idealista,109915267,Madrid,Embajadores,109106,Piso,3.0,47.0,4.0,395000.0,181.9,0.3064,1-barrio+habitaciones,3.35,Baja rentabilidad
E3_sin_barcelona,Idealista,110895486,Madrid,Embajadores,109106,Piso,1.0,45.0,,190900.0,87.55,0.3064,1-barrio+habitaciones,3.33,Baja rentabilidad
E3_sin_barcelona,Idealista,111212160,Madrid,Cortes,109064,Piso,5.0,148.0,3.0,935000.0,385.9,0.3395,1-barrio+habitaciones,3.32,Baja rentabilidad
E3_sin_barcelona,Idealista,110909661,Madrid,Embajadores,109106,Piso,2.0,54.0,0.0,279000.0,127.5,0.3064,1-barrio+habitaciones,3.32,Baja rentabilidad
E3_sin_barcelona,Idealista,109603588,Madrid,Embajadores,109106,Piso,2.0,52.0,3.0,279000.0,127.5,0.3064,1-barrio+habitaciones,3.32,Baja rentabilidad
E3_sin_barcelona,Fotocasa,187992326,Madrid,Comillas,108061,Piso,3.0,89.0,3.0,359900.0,153.0,0.3283,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Idealista,108236597,Madrid,Embajadores,109106,Piso,2.0,56.0,0.0,280000.0,127.5,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188990060,Madrid,Embajadores,109106,Piso,4.0,94.0,4.0,650000.0,296.225,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Fotocasa,187724866,Madrid,Embajadores,109106,Piso,3.0,70.0,15.0,399000.0,181.9,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189221474,Madrid,Embajadores,109106,Piso,4.0,109.0,1.0,650000.0,296.225,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Idealista,111380736,Madrid,Embajadores,109106,Piso,3.0,59.0,3.0,399000.0,181.9,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Idealista,111135413,Madrid,Embajadores,109106,Piso,3.0,77.0,3.0,399900.0,181.9,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Idealista,107426467,Madrid,Embajadores,109106,Piso,6.0,112.0,4.0,649600.0,296.225,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189590780,Madrid,Palos de la Frontera,102205,Piso,2.0,48.0,3.0,299000.0,121.55,0.3429,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189589814,Madrid,Palacio,109201,Piso,2.0,43.0,,312000.0,149.6,0.2914,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Idealista,109953886,Madrid,Embajadores,109106,Piso,4.0,106.0,1.0,650000.0,296.225,0.3064,1-barrio+habitaciones,3.31,Baja rentabilidad
E3_sin_barcelona,Idealista,111227416,Madrid,Universidad,109265,Piso,2.0,41.0,1.0,306000.0,148.75,0.286,1-barrio+habitaciones,3.3,Baja rentabilidad
E3_sin_barcelona,Idealista,111340841,Madrid,Palos de la Frontera,102205,Piso,2.0,38.0,4.0,300000.0,121.55,0.3429,1-barrio+habitaciones,3.3,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189189746,Madrid,Palos de la Frontera,102205,Piso,2.0,46.0,1.0,300000.0,121.55,0.3429,1-barrio+habitaciones,3.3,Baja rentabilidad
E3_sin_barcelona,Idealista,111022946,Madrid,Cortes,109064,Piso,2.0,80.0,6.0,349000.0,142.8,0.3395,1-barrio+habitaciones,3.3,Baja rentabilidad
E3_sin_barcelona,Idealista,109548808,Madrid,Embajadores,109106,Piso,4.0,133.0,1.0,655000.0,296.225,0.3064,1-barrio+habitaciones,3.29,Baja rentabilidad
E3_sin_barcelona,Fotocasa,182800989,Madrid,Cortes,109064,Piso,8.0,226.0,,949000.0,385.9,0.3395,1-barrio+habitaciones,3.28,Baja rentabilidad
E3_sin_barcelona,Idealista,110700883,Madrid,Justicia,109130,Piso,2.0,42.0,4.0,310000.0,164.47500000000002,0.2602,1-barrio+habitaciones,3.28,Baja rentabilidad
E3_sin_barcelona,Idealista,110265049,Madrid,Universidad,109265,Piso,3.0,56.0,4.0,430000.0,207.4,0.286,1-barrio+habitaciones,3.27,Baja rentabilidad
E3_sin_barcelona,Idealista,108826473,Madrid,Cortes,109064,Piso,4.0,173.0,1.0,950000.0,385.9,0.3395,1-barrio+habitaciones,3.27,Baja rentabilidad
E3_sin_barcelona,Idealista,95635303,Madrid,Embajadores,109106,Piso,3.0,65.0,3.0,405000.0,181.9,0.3064,1-barrio+habitaciones,3.26,Baja rentabilidad
E3_sin_barcelona,Idealista,110677037,Madrid,Embajadores,109106,Piso,4.0,87.0,1.0,660000.0,296.225,0.3064,1-barrio+habitaciones,3.26,Baja rentabilidad
E3_sin_barcelona,Idealista,111340037,Madrid,Embajadores,109106,Piso,1.0,41.0,,195000.0,87.55,0.3064,1-barrio+habitaciones,3.26,Baja rentabilidad
E3_sin_barcelona,Fotocasa,187975897,Madrid,Palacio,109201,Piso,2.0,38.0,0.0,319000.0,149.6,0.2914,1-barrio+habitaciones,3.24,Baja rentabilidad
E3_sin_barcelona,Idealista,111328666,Madrid,Palos de la Frontera,102205,Piso,2.0,36.0,3.0,305000.0,121.55,0.3429,1-barrio+habitaciones,3.24,Baja rentabilidad
E3_sin_barcelona,Idealista,110261057,Madrid,Palacio,109201,Piso,2.0,70.0,2.0,320000.0,149.6,0.2914,1-barrio+habitaciones,3.23,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188928262,Madrid,Comillas,108061,Piso,3.0,60.0,4.0,370000.0,153.0,0.3283,1-barrio+habitaciones,3.22,Baja rentabilidad
E3_sin_barcelona,Fotocasa,186647755,Madrid,Universidad,109265,Piso,4.0,95.0,3.0,820000.0,386.325,0.286,1-barrio+habitaciones,3.2,Baja rentabilidad
E3_sin_barcelona,Idealista,111316569,Madrid,Embajadores,109106,Piso,2.0,36.0,2.0,290000.0,127.5,0.3064,1-barrio+habitaciones,3.2,Baja rentabilidad
E3_sin_barcelona,Idealista,111085182,Madrid,Embajadores,109106,Piso,2.0,60.0,0.0,290000.0,127.5,0.3064,1-barrio+habitaciones,3.2,Baja rentabilidad
E3_sin_barcelona,Idealista,111267829,Madrid,Sol,109256,Piso,2.0,60.0,3.0,376000.0,151.3,0.3349,1-barrio+habitaciones,3.2,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188644093,Madrid,Sol,109256,Piso,2.0,56.0,3.0,376000.0,151.3,0.3349,1-barrio+habitaciones,3.2,Baja rentabilidad
E3_sin_barcelona,Idealista,109987884,Madrid,Embajadores,109106,Piso,2.0,55.0,2.0,290000.0,127.5,0.3064,1-barrio+habitaciones,3.2,Baja rentabilidad
E3_sin_barcelona,Idealista,110873625,Madrid,Universidad,109265,Piso,1.0,35.0,0.0,210000.0,98.6,0.286,1-barrio+habitaciones,3.19,Baja rentabilidad
E3_sin_barcelona,Idealista,109729886,Madrid,Universidad,109265,Ático,1.0,41.0,4.0,210000.0,98.6,0.286,1-barrio+habitaciones,3.19,Baja rentabilidad
E3_sin_barcelona,Idealista,110410092,Madrid,Palos de la Frontera,102205,Piso,2.0,40.0,4.0,310000.0,121.55,0.3429,1-barrio+habitaciones,3.19,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189085556,Madrid,Embajadores,109106,Piso,1.0,45.0,,199900.0,87.55,0.3064,1-barrio+habitaciones,3.18,Baja rentabilidad
E3_sin_barcelona,Idealista,110432733,Madrid,Embajadores,109106,Piso,1.0,42.0,2.0,199900.0,87.55,0.3064,1-barrio+habitaciones,3.18,Baja rentabilidad
E3_sin_barcelona,Idealista,110226881,Madrid,Embajadores,109106,Estudio,1.0,37.0,,200000.0,87.55,0.3064,1-barrio+habitaciones,3.18,Baja rentabilidad
E3_sin_barcelona,Fotocasa,181188015,Madrid,Justicia,109130,Piso,2.0,69.0,5.0,320000.0,164.47500000000002,0.2602,1-barrio+habitaciones,3.17,Baja rentabilidad
E3_sin_barcelona,Idealista,106970506,Madrid,Embajadores,109106,Piso,3.0,75.0,3.0,419000.0,181.9,0.3064,1-barrio+habitaciones,3.16,Baja rentabilidad
E3_sin_barcelona,Idealista,109812528,Madrid,Cortes,109064,Piso,4.0,135.0,3.0,985000.0,385.9,0.3395,1-barrio+habitaciones,3.16,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189492272,Madrid,Sol,109256,Piso,2.0,60.0,2.0,380000.0,151.3,0.3349,1-barrio+habitaciones,3.16,Baja rentabilidad
